t_s,track_id,est_e_m,est_n_m,est_u_m,est_vel_e,est_vel_n,est_vel_u,pos_err_m,az_err_deg,el_err_deg,range_err_m
11.0400,1,-1105.5047,1152.4420,121.8582,10.5989,-11.3904,-0.4422,3.2092,-0.0235,-0.0071,-3.1350
11.1000,1,-1104.8808,1151.7471,121.8317,10.5923,-11.3967,-0.4422,3.2409,-0.0246,-0.0073,-3.1606
11.1400,1,-1105.5903,1152.5039,121.9677,10.2657,-11.0391,-0.3936,1.6652,-0.0242,-0.0065,-1.5111
11.2400,1,-1104.7221,1151.4314,121.9304,10.2027,-11.0457,-0.3946,1.5970,-0.0284,-0.0071,-1.3730
11.3400,1,-1103.1504,1149.7430,121.7706,10.3621,-11.2166,-0.4396,2.3396,-0.0296,-0.0096,-2.1731
11.4400,1,-1101.7037,1148.3019,121.6485,10.4943,-11.2977,-0.4686,2.8335,-0.0280,-0.0114,-2.7060
11.5000,1,-1101.0741,1147.6240,121.6204,10.4943,-11.2977,-0.4686,2.8550,-0.0285,-0.0117,-2.7234
11.5400,1,-1101.1368,1147.6322,121.6604,10.3481,-11.1673,-0.4506,2.2510,-0.0299,-0.0117,-2.0664
11.6400,1,-1100.5942,1147.0785,121.7639,10.2101,-10.9982,-0.3935,1.5747,-0.0296,-0.0089,-1.3196
11.7000,1,-1099.9880,1146.4124,121.7403,10.2069,-11.0013,-0.3935,1.5815,-0.0305,-0.0091,-1.3119
11.7400,1,-1099.9944,1146.4577,121.7315,10.0896,-10.8528,-0.3981,1.1002,-0.0295,-0.0108,-0.6708
11.8400,1,-1100.3428,1146.7032,121.7951,9.6815,-10.4680,-0.3750,1.5907,-0.0325,-0.0127,1.2630
11.9000,1,-1099.7532,1146.0835,121.7726,9.6857,-10.4641,-0.3750,1.6363,-0.0326,-0.0130,1.3156
11.9030,1,-1098.6287,1147.1274,121.5492,10.2049,-9.9508,-0.4701,1.5791,0.0227,-0.0211,1.3244
11.9400,1,-1098.0307,1146.5203,121.5310,10.2704,-10.0233,-0.4670,1.3389,0.0232,-0.0205,1.0278
12.0370,1,-1096.6423,1145.9463,121.3523,10.4570,-9.8362,-0.5237,1.8168,0.0451,-0.0261,1.1048
12.0400,1,-1097.1127,1146.5653,121.4374,10.3194,-9.6336,-0.4957,2.4511,0.0482,-0.0253,1.9319
12.1000,1,-1096.4861,1145.9943,121.4077,10.3230,-9.6303,-0.4957,2.5355,0.0503,-0.0259,1.9935
12.1400,1,-1096.4330,1145.8581,121.4126,10.2052,-9.5677,-0.4898,2.8982,0.0483,-0.0266,2.4638
12.2400,1,-1094.9604,1144.4119,121.2802,10.3366,-9.7135,-0.5181,2.4969,0.0506,-0.0288,1.9086
12.3000,1,-1094.3394,1143.8299,121.2491,10.3370,-9.7131,-0.5181,2.5718,0.0523,-0.0294,1.9660
12.3400,1,-1094.0360,1143.6085,121.2433,10.3093,-9.6590,-0.5139,2.7946,0.0547,-0.0298,2.2017
12.4400,1,-1092.9482,1142.4769,121.1744,10.3163,-9.7173,-0.5196,2.7604,0.0548,-0.0311,2.1432
12.5000,1,-1092.3245,1141.8983,121.1432,10.3185,-9.7152,-0.5196,2.8382,0.0567,-0.0317,2.2012
